Title,Company,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max,salary_avg_vnd,salary_mins,salary_maxs
"Chuyên Viên Tuyển Dụng_Miền Bắc (Base Long Biên, Hà Nội)",Asiafoods Corporation,,,Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,,,0,100,,,
Debug Supervisor,Công Ty TNHH Ajax Systems Việt Nam,"Ajax Systems Factory, Hung Yen, VSIP Hai Duong Co., Ltd., Cẩm Điền, Cẩm Giàng, Hải Dương, Việt Nam, KCN Minh Đức, Hưng Yên, My Hao District, Hung Yen, Vietnam","1. Job Summary
The Debug Supervisor is responsible for leading and managing the debug/repair function within the production line, ensuring timely identification, analysis, and resolution of product defects in mass production.
This role plays a critical part in improving product quality, reducing failure rates, and supporting continuous production flow, especially in a fast-scaling manufacturing environment.

2. Key Responsibilities
2.1 Production & Debug Operations
Supervise daily debug and repair activities for failed units from SMT, assembly, and testing processes.
Ensure timely troubleshooting and resolution of defects to meet production output and delivery targets.
Monitor and control debug turnaround time (TAT) and backlog.
Coordinate with production teams to prioritize urgent issues impacting output.

2.2 Root Cause Analysis & Continuous Improvement
Lead root cause analysis (RCA) for recurring defects using structured methodologies (5Why, Fishbone, etc.).
Work closely with Engineering, Quality, and NPI teams to implement corrective and preventive actions (CAPA).
Track defect trends, failure modes, and yield losses; propose improvement actions.
Drive initiatives to reduce rework rate and improve First Pass Yield (FPY/FTT).

2.3 Quality & Process Control
Ensure all debug activities comply with SOPs, work instructions, and quality standards.
Validate repair quality before returning units to production flow.
Maintain proper documentation of debug records, failure analysis reports, and repair logs.
Support audits (internal/external, customer audits) related to quality and process compliance.

2.4 Team Leadership & Development
Lead and manage a team of Debug Technicians/Engineers across shifts.
Allocate manpower effectively to meet production and quality targets.
Train, coach, and develop team members on troubleshooting skills and technical knowledge.
Monitor team performance, discipline, and engagement.

2.5 Cross-functional Collaboration
Work closely with:
Production (Line/Shift Leaders)
Quality (QA/QC, OBA)
Engineering (Process, Test, NPI)
Support new product introduction (NPI) by identifying potential failure modes and improving debug readiness.

2.6 Reporting & Data Management
Prepare daily/weekly/monthly reports on:
Failure rate
Top defects
Debug turnaround time
Yield improvement
Maintain and analyze debug database to support decision-making.

2.7 Safety & Compliance
Ensure compliance with EHS, 5S, and company policies.
Maintain a safe and organized working environment within the debug area.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-03-21,Khoa Học & Kỹ Thuật,Hệ thống CNTT & Thiết bị,,Không giới hạn,Không hiển thị,,Nhân viên,"Debug, Debugging PCBAs, PCB Debug, Repair Maintenance, Debug Tool",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Khoa Học & Kỹ Thuật, Kỹ Thuật Điện/Điện Tử, Hệ thống CNTT & Thiết bị, Debug, Debugging PCBAs, PCB Debug, Repair Maintenance, Debug Tool, Công Ty TNHH Ajax Systems Việt Nam, Hưng Yên, Hải Dương",Kỹ Thuật Điện/Điện Tử,0,100,,,
Controller (OneStream Administrator),Universal Alloy Corporation Vietnam,"Lot A9, Da Nang Hi-tech Park, Hoa Vang, Da Nang, Vietnam, Da Nang Hi-Tech Park, Lot A9, Hoa Vang District, Da Nang City","Job summarize:
• Support in the implementation of our next-generation financial planning and analysis platform OneStream (an accounting & finance ERP software)
• Administer OneStream including access control, role management, data governance, workflow monitoring, user support, report preparation, among others
• Deliver training sessions to new Montana Aerospace users on the functionalities of the OneStream platform
• Support the controlling teams of subsidiaries of Montana Aerospace Group during budgeting and forecasting process (data analysis, review of assumptions, etc.), monthly financial figures submission and other controlling-related tasks
• Participation in other ad-hoc initiatives and analysis at the company, headquarters and in subsidiaries
• Reporting line to Head of Controlling at Montana Aerospace Headquarter in Vienna, Austria",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Sản xuất, Attention To Detail, Budget Forecasting, Experience In SAP, Financial Analysis, Onestream Administration, Universal Alloy Corporation Vietnam, Đà Nẵng",,0,100,,,
Admin Officer For Fresher For People Experience Team,Decathlon Vietnam,"Floor 5, Pax Sky, 26 Ung Van Khiem St., Ward 25, Binh Thanh District, Ho Chi Minh City, Vietnam, Pax Sky, Ung Văn Khiêm, Phường 25, Bình Thạnh, Ho Chi Minh City, Vietnam","OUR PURPOSE: As Admin Assistant, I guarantee the availability and quality of administrative services and office operation to ensure the satisfaction of teammates.

YOUR RESPONSIBILITIES:
1. International & Domestic Express:
In charge for sending goods/documents abroad and domestic.
Work with shipping company to make sure the goods, documents are sending on time and no lost.
In charge for receiving goods/documents and deliver to right person.

2. Payment:
In charge of express, building cost and other monthly admin payment activities.

3. Receptionist:
Welcome guest with a professional way.
Manage visitor in and out. Work with the building for in and out visitor or supplier to the office.
Well organized the area to ready welcome guest. Always apply 5S in the area.

4. Other add hoc upon request.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-03-21,Hành Chính Văn Phòng,Bán lẻ/Bán sỉ,1.0,Không giới hạn,1,09:00 - 18:00,Mới Tốt Nghiệp,"Administrative Expenses, Administration Process, Receptionist",Tiếng Anh,Không giới hạn,Bất kỳ,Thứ 2  đến Thứ 6,Toàn thời gian,"Hành Chính Văn Phòng, Hành Chính, Bán lẻ/Bán sỉ, Administrative Expenses, Administration Process, Receptionist, Decathlon Vietnam, Hồ Chí Minh",Hành Chính,18,60,,,
Sales Admin Modern Trade Channel,Công Ty TNHH I.P. One (Việt Nam),"Floor 6 - Sky Gate Building - 36-38 Nguyễn Văn Trỗi, Đường Nguyễn Văn Trỗi, phường 15, Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam, EverGrow - Sky Gate Building - 36-38 Nguyễn Văn Trỗi, Đường Nguyễn Văn Trỗi, phường 15, Phú Nhuận, Hồ Chí Minh, Việt Nam","• Receive original or advance copies of customer PO.
• Check PO date, pricing, and related information for accuracy.
• Create, process, and monitor Sales Orders on sales tools system, ensure timely and accurate order processing.
• Liaise between Sales and Logistic Dept., discuss and coordinate inventory availability and delivery schedules.
• Follow up on order fulfillment and resolve related issues.
• Support Sales Dept. in managing orders and tracking performance gaps (GAP) by team.
• Update sales target and prepare sales incentive for Sales Dept.
• Prepare periodic sales reports (weekly/monthly/quarterly).
• Prepare sales department reports and consolidate sales performance reports as requested by the Direct Manager and Management Team.
• Analyze sales data and provide summary reports to support decision-making.
• Perform other tasks as assigned by the Direct Manager.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-03-21,Hành Chính Văn Phòng,Hàng tiêu dùng,1.0,Không giới hạn,1,08:00 - 17:00,Nhân viên,"Analytical Skills, Marketing Tools, Microsoft Office, Sales Administration, SAP systems",Tiếng Anh,Không giới hạn,Bất kỳ,Thứ 2  đến Thứ 6,Toàn thời gian,"Hành Chính Văn Phòng, Trợ Lý Kinh Doanh, Hàng tiêu dùng, Analytical Skills, Marketing Tools, Microsoft Office, Sales Administration, SAP systems, Công Ty TNHH I.P. One (Việt Nam), Hồ Chí Minh",Trợ Lý Kinh Doanh,15,60,,,
Machine Engineer (Automation),"Molex Vietnam Co., Ltd.","Thang Long Industrial Park II, Hung Yen, Thang Long II IP, Hung Yen (Daily Shuttle from Hanoi/ Hai Duong/ Bac Ninh)","Primary Purpose
Set up, debug, qualify, and continuously improve automation machines, equipment, jigs, and fixtures for assembly processes to ensure product quality, productivity, and cost efficiency.
Key Responsibilities
New Line & New Product Introduction
• Participate in development and setup of new production lines and new product launches.
• Understand manufacturing process flow, PFMEA, and quality requirements.
• Collaborate with Tooling Engineers to review jig/fixture designs.
• Conduct trials for new machines, jigs, fixtures, and transfer lines.
• Define technical requirements and work with external suppliers to build, debug, and qualify machines and tooling.
• Prepare machine setup documents, operation instructions, and setting conditions.
• Support mass trial runs and ensure machine readiness for mass production.
• Follow up and improve machine performance after MP launch.
• Research and apply new automation technologies to production.
Troubleshooting & Problem Solving
• Troubleshoot machine, equipment, and tooling issues during trial and pre-MP phases.
• Analyze root causes of technical and quality problems related to machines or tooling.
• Support resolution of customer complaints related to the manufacturing process.
Continuous Improvement
• Work with Process Engineering, Production, and Quality teams to:
• Improve quality, productivity, and machine capability
• Reduce manufacturing cost
• Provide feedback on process and machine design to eliminate chronic quality or productivity issues.
Supplier & Compliance Support
• Support suppliers during machine setup, debugging, and trials.
• Ensure compliance with:
• 6S & Kaizen
• EHS (Environmental, Health & Safety)
• EICC & Social Responsibility
• Protection of company assets
• Support Molex systems and standards: TQM, Six Sigma, ISO, and EH&S.
• Perform other duties as assigned by management.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-03-21,Khoa Học & Kỹ Thuật,Sản xuất,3.0,Cử nhân,5,08:00 - 17:00,Nhân viên,"Automation Engineering, Cad Skills, Manufacture Process, Problem Solving, Technical Drawing",Tiếng Anh,Người Việt Nam,Bất kỳ,Thứ 2  đến Thứ 7,Toàn thời gian,"Khoa Học & Kỹ Thuật, Cơ Khí & Điện Lạnh, Sản xuất, Automation Engineering, Cad Skills, Manufacture Process, Problem Solving, Technical Drawing, Molex Vietnam Co., Ltd., Hưng Yên",Cơ Khí & Điện Lạnh,0,100,,,
QC Kiểm Tra Kết Cấu Thép - Dự Án Hải Phòng/ Hà Nội,ATAD Steel Structure Corporation,"Công trình sân bay Cát Bi: Hải Phòng, Việt Nam, Phường Hoàn Kiếm, Hà Nội, Việt Nam, 99 Nguyễn Thị Minh Khai, Bến Thành, District 1, Ho Chi Minh City, Vietnam","Công ty Cổ phần Kết cấu Thép ATAD là doanh nghiệp hàng đầu trong lĩnh vực thiết kế, sản xuất và lắp dựng kết cấu thép tiền chế tại Việt Nam và khu vực.
Với hơn 20 năm phát triển, ATAD đã hiện diện tại hơn 40 quốc gia, sở hữu các nhà máy hiện đại đạt chuẩn LEED Gold, cùng đội ngũ hơn 2.500 nhân sự

Mô tả công việc chi tiết
- Thực hiện kiểm tra vật tư, cấu kiện thép nhập vào công trình
- Thực hiện kiểm tra lắp đặt tại công trình; mối hàn, kiểm tra sơn, ngoại quan, kích thước
- Thực hiện nghiệm thu và làm hồ sơ với khách hàng.
- Các nhiệm vụ khác được giao.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,"Kiến Trúc/Xây Dựng, Xây Dựng, Kỹ thuật xây dựng/Cơ sở hạ tầng, Xây Dựng, Lắp Dựng Cấu Kiện, QC, Quản Lý Chất Lượng, Steel Structure, ATAD Steel Structure Corporation, Hải Phòng, Hà Nội",,0,100,,,
Chuyên Viên Phát Triển Dự Án,Eurowindow Holding,"Tòa nhà Eurowindow, Số 2 Tôn Thất Tùng, Đống Đa, Hà Nội, Tòa nhà Eurowindow Office Building ở số 2 Tôn Thất Tùng, Đống Đa, Hà Nội","- Nghiên cứu và triển khai thủ tục pháp lý của dự án theo quy định pháp luật hiện hành, lập kế hoạch triển khai, tham mưu cho lãnh đạo;
- Có kỹ năng thế mạnh về quy hoạch và hạ tầng kỹ thuật, đô thị và quản lý dự án;
- Làm việc với các đơn vị, cơ quan quản lý chuyên ngành về quy hoạch và hạ tầng kỹ thuật có liên quan trong quá trình hoàn thiện các thủ tục pháp lý đầu tư, xây dựng (đồ án quy hoạch đô thị, thẩm định, đấu nối, chủ trương đầu tư, đánh giá tác động môi trường, đấu nối hạ tầng kỹ thuật);
- Chi tiết công việc sẽ được trao đổi trong buổi phỏng vấn.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-03-21,Kiến Trúc/Xây Dựng,Kỹ thuật xây dựng/Cơ sở hạ tầng,5.0,Cử nhân,Không hiển thị,,Nhân viên,"Xây Dựng, Quy hoạch, kiến trúc, Quy Hoạch Đô Thị, Phát Triển Dự Án",Tiếng Việt,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kiến Trúc/Xây Dựng, Thiết Kế & Quy Hoạch Đô Thị, Kỹ thuật xây dựng/Cơ sở hạ tầng, Xây Dựng, Quy hoạch, kiến trúc, Quy Hoạch Đô Thị, Phát Triển Dự Án, Eurowindow Holding, Hà Nội",Thiết Kế & Quy Hoạch Đô Thị,0,100,,,
Creative Planner,CÔNG TY TNHH TRINITY,"843/52 Nguyễn Kiệm, Phường Hạnh Thông, TP. Hồ Chí Minh, 843/52 Nguyễn Kiệm, P3, Q. Gò Vấp, TPHCM","2. Mục tiêu vị trí
Phụ trách phát triển Big Idea, Concept, Proposal cho các dự án event & activation, đảm bảo ý tưởng sáng tạo, khả thi, phù hợp mục tiêu kinh doanh của khách hàng là cầu nối giữa Client – Account – Creative – Production
3. Mô tả công việc
3.1. Tiếp nhận & phân tích brief
- Tham gia brainstorm, đề xuất ý tưởng thiết kế cho các dự án
- Tiếp nhận brief từ khách hàng hoặc Account phân tích mục tiêu chiến dịch, đối tượng mục tiêu, Insight & bối cảnh thị trường
- Chủ động nghiên cứu bổ sung thông tin để hoàn thiện brief
3.2. Nguyên cứu & phát triển ý tưởng
- Nghiên cứu thị trường, hành vi người tiêu dùng, xu hướng ngành event
- Phát triển Big Idea, Key Message,… đề xuất concept phù hợp brand, budget, khả năng triển khai thực tế
3.3. Brainstorm & phát triển proposal
- Tham gia và dẫn dắt các buổi brainstorm nội bộ
- Tổng hợp ý tưởng thành proposal hoàn chỉnh Concept & storyline, Key visual định hướng, kịch bản chương trình, flow hoạt động
- Xử lý phản biện và điều chỉnh proposal theo feedback
3.4. Phối hợp triển khai & kiểm soát chất lượng
- Theo sát quá trình triển khai để đảm bảo ý tưởng được thực thi đúng định hướng
- Phối hợp với design, account, production, vendor → để đảm bảo proposal khả thi
- Đánh giá hiệu quả và rút kinh nghiệm sau dự án",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,"Khác, Khác, Khác, Copywriting, Create Storyboard, Create Work Plan, Creative Planning, Creative Thinking, CÔNG TY TNHH TRINITY, Hồ Chí Minh",,0,100,11500000.0,8000000.0,15000000.0
Kế Toán Tổng Hợp (Lương Up To 15M),Công Ty TNHH Eikodo Việt Nam,"Công ty TNHH Eikodo Việt Nam - Lô đất số J-2, KCN Thăng Long 2, Phường Đường Hào, Tỉnh Hưng Tên, Lô đất số J-2, KCN Thăng Long II, Phường Đường Hào, Tỉnh Hưng Yên","• Nhận các hồ sơ đề xuất thanh toán, tạm ứng, quyết toán tạm ứng, kiểm tra, trình phê duyệt =>
Chi các khoản đã phê duyệt
• Theo dõi thu – chi, nhập dữ liệu sổ sách trên phần mềm kế toán
• Theo dõi, đối chiếu số liệu và đôn đốc thu hồi công nợ phải thu, công nợ phải trả định kỳ
• Nhập hóa đơn đầu vào + đầu ra, sổ phụ vào phần mềm kế toán
• Sắp xếp và lưu trữ chứng từ
• Lập dự báo dòng tiền và lên kế hoạch thanh toán định kỳ (tuần/tháng) để cân đối nguồn vốn cho
công ty
• Xuất hoá đơn
• Hỗ trợ lập các tờ khai thuế (GTGT, TNDN, TNCN), lập Báo cáo tài chính năm",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-03-21,Kế Toán/Kiểm Toán,Kế toán/Kiểm toán,1.0,Cử nhân,1,8:00 - 17:00,Nhân viên,"Kế Toán, Kế Toán Tổng Hợp, Phần mềm kế toán, Phân Tích Da, Vi tính văn phòng",Bất kỳ,Người Việt Nam,Nữ,Thứ 2  đến Thứ 7,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Kế toán/Kiểm toán, Kế Toán, Kế Toán Tổng Hợp, Phần mềm kế toán, Phân Tích Da, Vi tính văn phòng, Công Ty TNHH Eikodo Việt Nam, Hà Nội",Kế Toán Tài Chính,25,30,15000000.0,15000000.0,15000000.0
